bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Standard,"11.3 miles from Sacramento, CA","DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31.0ft,"Antelope, CA",2018 KZ Sportsmen 271BHLE,"$1,800",$115,$650,"Year - 2018,Manufacturer - KZ,Make - Sportsmen LE,Model - 271BHLE,Class - Travel Trailer,Sleeps - 8,Number of Bunk Beds - 2,Slides - 1,Length - 31.0 ft,Height - 10.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Strict,"93.3 miles from Sacramento, CA","CD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave",28ft,"San Jose, CA",JG Betty---- 2012 Winnebago 24' Chalet 2...,"$5,000",$165,"$1,140","Year - 2012,Manufacturer - Winnebago,Make - chalet,Class - Class C Motor Home,Sleeps - 5,Fresh water tank - 31.0 gal,Length - 28.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2012
,Strict,"99.2 miles from Sacramento, CA",,,24ft,"Morgan Hill, CA",2020 Thor Motor Coach Four Winds 22E (C7...,,$140,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Four Winds 22E (C7043),Class - Class C Motor Home,Sleeps - 5,Length - 24.0 ft",5,,Class C Motor Home,2020
"Shower,Toilet,Bathroom Sink",Standard,"67.1 miles from Sacramento, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31.0ft,"Oakdale, CA",2014 Jayco Whitehawk,"$3,315",$130,$820,"Year - 2014,Manufacturer - Jayco,Make - White Hawk,Model - 28DSBH,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 1,Number of Bunk Beds - 2,Slides - 1,Length - 31.0 ft,Height - 10.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2014
,Standard,"72.7 miles from Sacramento, CA","CD Player,AM/FM Radio","Refrigerator,Range (Stove),Kitchen Sink",20ft,"Hayward, CA",2017 Ford Transit 350 Big Sur Campervan,"$5,100",$200,"$1,400","Year - 2017,Manufacturer - Big Sur,Make - Campervan,Model - (San Francisco),Class - Class B Camping Van,Sleeps - 5,Fresh water tank - 5.0 gal,Length - 20.0 ft",5,In Dash Air Conditioning,Class B Camping Van,2017
"Shower,Toilet,Bathroom Sink",Standard,"62.8 miles from Sacramento, CA",AM/FM Radio,"Refrigerator,Kitchen Sink,Microwave,Range (Stove)",22.0ft,"San Ramon, CA",2010 Trailmanor 3023,"$2,499",$98,$617,"Year - 2010,Manufacturer - TrailManor,Make - TrailManor,Model - 3023,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 2,Slides - 2,Length - 22.0 ft,Height - 8.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2010
,Strict,"99.2 miles from Sacramento, CA",,,26ft,"Morgan Hill, CA",2020 Thor Motor Coach Four Winds 22E (C3...,,$135,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Four Winds 22E (C3849),Class - Class C Motor Home,Sleeps - 5,Length - 26.0 ft",5,,Class C Motor Home,2020
"Shower,Toilet",Standard,"66.2 miles from Sacramento, CA","AM/FM Radio,DVD Player,CD Player","Refrigerator,Kitchen Sink,Microwave",27.0ft,"Oakland, CA",2014 Sprinter 2500,"$5,967",$234,"$1,474","Year - 2014,Manufacturer - Airstream RV,Make - Classic,Model - 27FB,Class - Travel Trailer,Sleeps - 4,Length - 27.0 ft,Height - 9.0 ft",4,"Hot & Cold Water Supply,In Dash Air Conditioning",Travel Trailer,2014
Shower,Standard,"75.4 miles from Sacramento, CA","AM/FM Radio,iPod Docking Station","Refrigerator,Kitchen Sink,Range (Stove)",19.0ft,"San Francisco, CA",2019 4x4 Sprinter,"$6,500",$255,"$1,600","Year - 2019,Manufacturer - Mercedes-Benz,Make - 4x4 Sprinter,Model - 2500,Class - Class B Camping Van,Sleeps - 2,Length - 19.0 ft",2,"In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2019
"Shower,Toilet,Bathroom Sink",Standard,"95.9 miles from Sacramento, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",35.0ft,"San Jose, CA",2015 Allegro Open Road Bunkhouse,"$7,896",$369,"$2,073","Year - 2015,Manufacturer - Tiffin Motorhomes,Make - Allegro,Model - 35 QBA,Class - Class A Motor Home,Sleeps - 7,Total Number of Beds - 2,Number of Bunk Beds - 2,Slides - 4,Fresh water tank - 80.0 gal,Length - 35.0 ft,Height - 13.0 ft",7,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2015
"Shower,Toilet,Bathroom Sink",Standard,"29.6 miles from Sacramento, CA","TV,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink,Slide Out",27ft,"Cameron Park, CA",2009 Chateau Sport Class C with slide ou...,"$3,400",$170,"$1,050","Year - 2009,Manufacturer - Four Winds,Make - Chataeu Sport,Class - Class C Motor Home,Sleeps - 5,Fresh water tank - 40.0 gal,Length - 27.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2009
"Shower,Bathroom Sink,Toilet",Strict,"51.2 miles from Sacramento, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Microwave,Slide Out,Refrigerator,Kitchen Sink",24.2ft,"Martinez, CA",2020 Winnebago Vita Mercedes Diesel 19 M...,"$6,950",$335,"$2,100","Year - 2020,Manufacturer - Winnebago,Make - Vita,Model - 24F,Class - Class C Motor Home,Sleeps - 5,Total Number of Beds - 3,Slides - 1,Fresh water tank - 37.0 gal,Length - 24.2 ft,Height - 12.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2020
"Shower,Bathroom Sink,Toilet",Standard,"99.3 miles from Sacramento, CA","CD Player,AM/FM Radio,DVD Player,TV","Microwave,Range (Stove),Refrigerator,Kitchen Sink",23.0ft,"Atwater, CA",Wild rabbit,"$2,450",$105,$650,"Year - 2018,Manufacturer - Keystone RV,Make - Springdale,Model - 189FLWE,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 3,Number of Bunk Beds - 2,Length - 23.0 ft,Height - 10.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Strict,"55.5 miles from Sacramento, CA","DVD Player,AM/FM Radio,TV","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31.0ft,"Tracy, CA",2019 Thor Motor Coach A.C.E BUNKHOUSE ...,"$6,000",$325,"$2,200","Year - 2019,Manufacturer - Thor Motor Coach,Make - ACE,Model - 30.2,Class - Class A Motor Home,Sleeps - 7,Total Number of Beds - 6,Number of Bunk Beds - 3,Slides - 1,Length - 31.0 ft,Height - 12.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2019
"Shower,Toilet,Bathroom Sink",Standard,"42.1 miles from Sacramento, CA","CD Player,TV,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink,Slide Out",28.0ft,"Antioch, CA",Perfect Family RV,,$180,,"Year - 2017,Manufacturer - Winnebago,Make - Minnie Winnie,Model - 27Q C43332,Class - Class C Motor Home,Sleeps - 6,Number of Bunk Beds - 1,Slides - 1,Fresh water tank - 50.0 gal,Length - 28.0 ft,Height - 11.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2017
"Shower,Toilet,Bathroom Sink",Standard,"22.0 miles from Boise, ID","TV,AM/FM Radio,CD Player","Microwave,Slide Out,Kitchen Sink,Refrigerator,Range (Stove)",26ft,"Emmett, ID",2017 Forest River Salem Cruise Lite Trav...,"$2,000",$125,$650,"Year - 2017,Class - Travel Trailer,Sleeps - 9,Fresh water tank - 40.0 gal,Length - 26.0 ft",9,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Strict,"20.7 miles from Boise, ID","TV,DVD Player","Microwave,Refrigerator,Range (Stove),Slide Out,Kitchen Sink",18.0ft,"Nampa, ID",15' Palomino PaloMini Lite Travel Traile...,,$132,$830,"Year - 2015,Manufacturer - Palomino,Make - PaloMini,Model - 150RBS,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Slides - 1,Length - 18.0 ft,Height - 9.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2015
"Shower,Toilet,Bathroom Sink",Strict,"23.7 miles from Boise, ID",,"Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",18ft,"Idaho City, ID",2018 Heartland SO185,"$2,600",$100,$700,"Year - 2018,Manufacturer - Heartland,Make - SO185,Class - Travel Trailer,Sleeps - 6,Length - 18.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
