bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Standard,"11.3 miles from Sacramento, CA","DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31.0ft,"Antelope, CA",2018 KZ Sportsmen 271BHLE,"$1,800",$115,$650,"Year - 2018,Manufacturer - KZ,Make - Sportsmen LE,Model - 271BHLE,Class - Travel Trailer,Sleeps - 8,Number of Bunk Beds - 2,Slides - 1,Length - 31.0 ft,Height - 10.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Bathroom Sink,Toilet",Standard,"92.6 miles from Sacramento, CA","iPod Docking Station,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",26.0ft,"San Jose, CA",Sunseeker Fun !!,"$6,350",$249,"$1,569","Year - 2003,Manufacturer - Forest River RV,Make - Sunseeker,Model - 2600SFord,Class - Class C Motor Home,Sleeps - 5,Slides - 1,Length - 26.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2003
"Shower,Bathroom Sink,Toilet",Flexible,"60.0 miles from Sacramento, CA","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",35.0ft,"Tracy, CA",VIP Style RV Rental,"$2,900",$175,"$1,000","Year - 2003,Manufacturer - Fleetwood RV,Make - Discovery,Model - 35M,Class - Class A Motor Home,Sleeps - 4,Total Number of Beds - 3,Slides - 2,Fresh water tank - 86.0 gal,Length - 35.0 ft,Height - 12.0 ft",4,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2003
"Shower,Toilet,Bathroom Sink",Standard,"85.3 miles from Sacramento, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",22ft,"San Jose, CA",2017 Jayco Jayfeather,"$2,907",$114,$718,"Year - 2017,Manufacturer - Jayco,Make - Jayfeather,Class - Travel Trailer,Sleeps - 6,Fresh water tank - 30.0 gal,Length - 22.0 ft",6,Roof Air Conditioning,Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Standard,"95.2 miles from Sacramento, CA","TV,CD Player","Kitchen Sink,Refrigerator,Range (Stove),Slide Out,Microwave",28ft,"Coyote, CA",28′ Eclipse Attitude Toy Hauler,,$280,"$1,860","Year - 2015,Class - Toy Hauler,Sleeps - 8,Fresh water tank - 150.0 gal,Length - 28.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2015
,Strict,"97.6 miles from Sacramento, CA",,,32ft,"Morgan Hill, CA",Winter specials available now!!,,$195,"$1,330","Year - 2018,Class - Class A Motor Home,Sleeps - 6,Length - 32.0 ft",6,,Class A Motor Home,2018
"Shower,Toilet,Bathroom Sink",Standard,"88.5 miles from Sacramento, CA","TV,DVD Player,AM/FM Radio,CD Player","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",25.0ft,"San Jose, CA",The Ultimate Vacation Machine,"$7,300",$270,"$1,850","Year - 2017,Manufacturer - Winnebago,Make - Navion,Model - 24G,Class - Class C Motor Home,Sleeps - 4,Number of Bunk Beds - 1,Slides - 2,Fresh water tank - 31.0 gal,Length - 25.0 ft,Height - 11.0 ft",4,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2017
"Bathroom Sink,Toilet,Shower",Standard,"87.6 miles from Sacramento, CA","TV,CD Player,AM/FM Radio","Range (Stove),Microwave,Kitchen Sink,Refrigerator,Slide Out",28.0ft,"San Jose, CA",Brasil’s Family RV ,"$6,222",$244,"$1,537","Year - 2019,Manufacturer - Jayco,Make - Redhawk,Model - 26XD,Class - Class C Motor Home,Sleeps - 6,Number of Bunk Beds - 1,Slides - 2,Length - 28.0 ft,Height - 11.0 ft",6,"Hot & Cold Water Supply,Roof Air Conditioning,In Dash Air Conditioning",Class C Motor Home,2019
,Standard,"4.5 miles from Anchorage, AK",,,31ft,"Anchorage, AK",2014 Winnebago Chalet,"$7,395",$290,"$1,827","Year - 2014,Manufacturer - Winnebago,Make - Chalet,Class - Class C Motor Home,Sleeps - 8,Length - 31.0 ft",8,,Class C Motor Home,2014
"Shower,Toilet,Bathroom Sink",Standard,"20.1 miles from Anchorage, AK","TV,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",32.0ft,"Anchorage, AK",Affordable Alaskan Luxery,"$6,350",$249,"$1,743","Year - 2020,Manufacturer - Gulf Stream RV,Make - Conquest Traditional C,Model - 63111,Class - Class C Motor Home,Sleeps - 8,Number of Bunk Beds - 2,Length - 32.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2020
