bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Strict,"18.5 miles from Austin, TX","DVD Player,TV,CD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",28.0ft,"Cedar Park, TX",! Must SEE - Must BOOK - Must CAMP !,"$1,913",$85,$473,"Year - 2016,Manufacturer - Keystone RV,Make - Springdale,Model - 260LE,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 3,Fresh water tank - 52.0 gal,Length - 28.0 ft,Height - 11.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2016
"Shower,Toilet",Strict,"3.4 miles from Austin, TX","TV,DVD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",22.0ft,"Austin, TX",Meet Genie - My 2017 Winnebago Paseo,"$4,936",$215,"$1,309","Year - 2017,Manufacturer - Winnebago,Make - Paseo,Model - 48P,Class - Class B Camping Van,Sleeps - 2,Total Number of Beds - 1,Fresh water tank - 26.0 gal,Length - 22.0 ft,Height - 10.0 ft",2,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2017
"Shower,Bathroom Sink,Toilet",Flexible,"13.9 miles from Austin, TX","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",31.0ft,"Buda, TX",Great Camper for a family or group of fr...,"$2,423",$95,$599,"Year - 2006,Manufacturer - Keystone RV,Make - Outback,Model - 31RQS,Class - Travel Trailer,Sleeps - 10,Total Number of Beds - 7,Number of Bunk Beds - 4,Slides - 1,Fresh water tank - 50.0 gal,Length - 31.0 ft",10,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2006
"Shower,Toilet,Bathroom Sink",Standard,"5.1 miles from Austin, TX","TV,iPod Docking Station,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",20.0ft,"Austin, TX",2020 Shasta RVs Oasis 18BH,"$1,500",$99,$500,"Year - 2020,Manufacturer - Shasta RVs,Make - Oasis,Model - 18BH,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 4,Number of Bunk Beds - 2,Fresh water tank - 42.0 gal,Length - 20.0 ft,Height - 10.5 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2020
"Shower,Toilet,Bathroom Sink",Strict,"18.3 miles from Austin, TX","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",25.0ft,"Round Rock, TX",2017 Jayco WhiteHawk,"$1,750",$84,$515,"Year - 2017,Manufacturer - Jayco,Make - White Hawk,Model - 23MRB,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 3,Slides - 1,Fresh water tank - 50.0 gal,Length - 25.0 ft,Height - 10.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Standard,"10.8 miles from Austin, TX","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",20ft,"Austin, TX","COZY 2015 R-POD 179 - Easy Set-up, Easy...","$2,000",$95,$600,"Year - 2015,Manufacturer - R-Pod,Make - R179,Class - Travel Trailer,Sleeps - 4,Fresh water tank - 36.0 gal,Length - 20.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2015
Shower,Flexible,"10.7 miles from Austin, TX",TV,"Refrigerator,Range (Stove)",14.0ft,"Manor, TX",2021 Forest River No Boundaries NB10.6,"$2,423",$95,$599,"Year - 2021,Manufacturer - Forest River RV,Make - No Boundaries,Model - NB10.6,Class - Travel Trailer,Sleeps - 2,Length - 14.0 ft",2,Roof Air Conditioning,Travel Trailer,2021
"Shower,Toilet,Bathroom Sink",Standard,"3.3 miles from Austin, TX","TV,DVD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",19.0ft,"Austin, TX",Clifford The Big Red Van (Urban Escape P...,"$4,500",$215,"$1,350","Year - 2016,Manufacturer - Roadtrek,Make - Zion,Model - SRT,Class - Class B Camping Van,Sleeps - 2,Length - 19.0 ft,Height - 10.0 ft",2,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2016
"Shower,Toilet,Bathroom Sink",Strict,"19.4 miles from Austin, TX","DVD Player,AM/FM Radio,CD Player,TV","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",32.0ft,"Lago Vista, TX",2015 Thor Motor Coach Chateau 31E Bunkho...,"$4,476",$201,"$1,343","Year - 2015,Manufacturer - Thor Motor Coach,Make - Chateau,Model - 31E Bunkhouse,Class - Class C Motor Home,Sleeps - 10,Total Number of Beds - 6,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 20.0 gal,Length - 32.0 ft,Height - 12.0 ft",10,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2015
"Shower,Bathroom Sink,Toilet",Standard,"19.8 miles from Austin, TX","CD Player,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",24.0ft,"Hutto, TX",2016 Coachmen Hybrid Freedom Express,"$2,160",$85,$535,"Year - 2016,Manufacturer - Coachmen RV,Make - Freedom Express,Model - 23TQX,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 4,Slides - 1,Length - 24.0 ft,Height - 129.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2016
